Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZQJ0116-1136;FSRQ;19,05217;-11,60428;0,671;2,94E+20;12,5;-11,6;12,5;0,4;;No possible source for confusion within 20 arcseconds;3,9;-0,49;12,6;0,4;-11,58;-11,85;-11,25
Yes;5BZBJ0116-6153;BL Lac;19,08175;-61,89542;;2,09E+20;14,8;-12,1;15,2;0,3;;No possible source for confusion within 20 arcseconds;2,8;0,27;14,6;0,4;-12,03;-12,21;-11,75
Yes;3HSPJ011637.1-281147;BL Lac;19,15442;-28,19636;0,320;1,88E+20;16,2;-12,1;16,1;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,5;1,10;17,5;0,0;-11,54;0,00;0,00
No;NVWJ0117.1-3108;;19,33920;-31,14672;;2,11E+20;;;15,5;1,4;;No possible source for confusion within 20 arcseconds;2,2;0,50;15,5;0,4;-11,46;-11,64;-11,29
Yes;3HSPJ011724.4-222759;BL Lac;19,35158;-22,46642;0,116;1,64E+20;17,2;-12,2;17,0;0,6;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 2 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ0117+1418;FSRQ;19,35500;14,30344;0,839;3,67E+20;12,6;-12,2;12,6;0,4;;No possible source for confusion within 20 arcseconds;8,9;-0,05;13,4;0,4;-12,25;-12,79;-11,84
Yes;5BZQJ0117-3357;FSRQ;19,43583;-33,95139;0,647;2,47E+20;13,1;-12,0;13,1;0,6;;No possible source for confusion within 20 arcseconds;1,4;-0,16;13,0;0,4;-12,00;-12,07;-11,93
Yes;5BZBJ0117-2443;BL Lac;19,44583;-24,72603;0,279;1,57E+20;17,5;-12,1;17,4;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,4;1,40;17,5;0,0;-11,59;0,00;0,00
Yes;5BZQJ0117-2111;FSRQ;19,45325;-21,18520;1,490;1,35E+20;12,8;-11,9;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;7,8;-0,50;12,6;0,4;-11,72;-12,26;-11,37
No;3HSPJ011823.3+324325;BL Lac;19,59696;32,72367;0,112;5,35E+20;;;16,1;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;;;;;;;
No;3HSPJ011828.7-511527;BL Lac;19,61975;-51,25758;0,248;1,40E+20;;;16,4;0,5;;No possible source for confusion within 20 arcseconds;2,9;0,39;15,1;0,4;-12,03;-12,14;-11,69
Yes;3HSPJ011831.4-142958;BL Lac;19,63087;-14,49933;0,420;1,49E+20;15,9;-11,8;15,7;0,4;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;4FGL J0118.7-0848;;19,68407;-8,84971;;3,05E+20;12,6;-12,2;12,8;0,5;;No possible source for confusion within 20 arcseconds;7,6;-0,59;12,5;0,4;-12,07;-12,62;-11,74
Yes;5BZQJ0118-2141;FSRQ;19,73858;-21,69169;1,165;1,13E+20;12,7;-11,4;12,7;0,4;;No possible source for confusion within 20 arcseconds;29,8;-0,50;12,6;0,4;-11,41;-12,38;-10,90
Yes;3HSPJ011904.6-145858;BL Lac;19,76921;-14,98289;0,290;1,34E+20;16,6;-11,7;16,6;0,4;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;2,0;0,80;16,7;0,4;-11,63;-11,76;-11,45
Yes;PKS 0117-542;;19,96019;-53,95497;;1,74E+20;13,0;-12,2;13,1;0,5;;No possible source for confusion within 20 arcseconds;3,1;-0,34;12,8;0,4;-12,18;-12,40;-11,91
Yes;2MASX J01200274+4200;;20,01149;42,00387;;6,95E+20;14,9;-11,9;14,9;1,0;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,7;1,03;17,5;0,0;-11,24;0,00;0,00
No;CRATES J012018+40531;;20,08021;40,89142;;5,50E+20;;;14,5;1,1;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 5 arcseconds, vmag=16.4;;;;;;;
