Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZQJ2148-1723;FSRQ;327,15332;-17,39556;2,130;4,20E+20;12,5;-12,5;12,4;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;2,6;-0,46;12,7;0,4;-12,54;-12,71;-12,30
No;PKS 2146-01;;327,18103;-1,37719;;5,59E+20;;;14,7;1,1;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,3;;;;;;
No;3HSPJ214924.0-563112;BL Lac;327,35004;-56,52008;0,270;2,31E+20;;;16,0;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 3 arcseconds, vmag=100.0;;;;;;;
Yes;5BZBJ2149+0322;BL Lac;327,42447;3,38094;;4,94E+20;13,8;-11,8;14,3;0,4;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;2,6;-0,01;13,6;0,4;-11,70;-11,93;-11,51
Yes;3FGL J2149.6+1915;;327,44711;19,34613;;8,05E+20;12,7;-12,0;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;18,0;-0,65;12,4;0,4;-11,99;-12,62;-11,37
No;3HSPJ215006.4-044131;BL Lac;327,52646;-4,69183;0,530;2,82E+20;;;16,3;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
No;3HSPJ215006.8-245723;BL Lac;327,52841;-24,95645;;3,20E+20;;;15,4;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,5;-0,45;12,7;0,4;-12,15;-12,25;-12,07
No;5BZQJ2150-6802;FSRQ;327,55579;-68,04733;1,265;2,71E+20;;;14,3;1,5;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,9;-0,60;12,5;0,4;-12,58;-12,70;-12,42
Yes;5BZGJ2150-1410;;327,56458;-14,18058;0,220;4,11E+20;17,3;-11,5;17,3;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,4;1,17;17,5;0,0;-11,30;0,00;0,00
No;MRSS 600-040574;;327,69419;-17,83172;;4,37E+20;;;14,6;0,4;;No possible source for confusion within 20 arcseconds;1,8;0,95;17,3;0,4;-11,29;-11,45;-11,18
No;5BZBJ2150+1119;BL Lac;327,71545;11,32128;0,495;5,87E+20;;;16,0;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,7;0,61;15,9;0,4;-12,02;-12,16;-11,93
Yes;5BZQJ2150-2812;FSRQ;327,72119;-28,21186;0,865;2,11E+20;13,1;-12,1;13,6;0,8;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;1,5;-0,39;12,8;0,4;-12,04;-12,11;-11,93
Yes;5BZQJ2151-2742;FSRQ;327,84131;-27,70644;1,485;1,91E+20;12,9;-11,8;13,1;0,5;;No possible source for confusion within 20 arcseconds;11,0;-0,49;12,6;0,4;-11,78;-12,33;-11,28
No;3HSPJ215123.2+415634;BL Lac;327,84674;41,94275;0,100;2,22E+21;;;15,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;5BZQJ2151+0709;FSRQ;327,88095;7,15744;1,364;3,73E+20;;;12,3;0,5;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,1;;;;;;
No;5BZQJ2151+0552;FSRQ;327,90784;5,87028;0,740;4,00E+20;;;12,4;0,4;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;5BZQJ2151-3027;FSRQ;327,98132;-30,46492;2,345;1,60E+20;12,5;-11,8;12,3;0,3;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;2,2;-0,40;12,7;0,4;-12,06;-12,24;-11,90
No;5BZQJ2152-7807;FSRQ;328,01312;-78,11850;3,997;7,84E+20;;;12,3;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;;;;;;;
No;5BZBJ2152-1205;BL Lac;328,05878;-12,09483;0,121;3,50E+20;;;15,7;0,5;;No possible source for confusion within 20 arcseconds;1,5;0,63;16,0;0,4;-11,69;-11,78;-11,60
No;RBS 1791;;328,10240;-12,12994;;3,46E+20;;;13,2;0,3;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZBJ2152+1734;BL Lac;328,10342;17,57717;;6,47E+20;12,9;-11,5;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;5,1;-0,24;12,9;0,4;-11,81;-12,11;-11,40
No;3HSPJ215258.4+172560;BL Lac;328,24329;17,41653;0,283;6,35E+20;;;15,7;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,3;1,22;17,5;0,0;-11,63;0,00;0,00
Yes;5BZBJ2153-0042;BL Lac;328,27225;-0,70850;0,341;7,57E+20;18,3;-11,4;17,5;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,4;1,31;17,5;0,0;-11,57;0,00;0,00
No;NVWJ2153.1-3106;;328,33210;-31,11630;;1,34E+20;;;15,8;0,8;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,9;0,14;14,1;0,4;-12,43;-12,54;-12,26
Yes;5BZQJ2153-1136;FSRQ;328,45926;-11,60386;1,582;3,56E+20;12,7;-12,0;12,8;0,4;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;8,6;-0,59;12,5;0,4;-11,96;-12,37;-11,43
No;3HSPJ215355.8-295445;BL Lac;328,48254;-29,91247;0,680;1,55E+20;;;17,1;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;;;;;;;
No;5BZQJ2154-1501;FSRQ;328,53101;-15,02542;1,208;3,76E+20;;;13,8;0,8;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ215412.8+000423;BL Lac;328,55331;0,07314;0,217;5,89E+20;;;15,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 5 arcseconds, vmag=100.0;;;;;;;
Yes;5BZQJ2155+2250;FSRQ;328,77692;22,83953;1,350;6,20E+20;12,3;-12,2;12,4;0,4;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;3,2;-0,83;12,2;0,4;-12,17;-12,47;-11,97
No;3HSPJ215511.7-253755;BL Lac;328,79855;-25,63194;0,460;2,21E+20;;;16,0;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=100.0;;;;;;;
Yes;3HSPJ215601.6+181837;BL Lac;329,00684;18,31033;0,360;5,89E+20;16,1;-11,8;15,9;0,3;;No possible source for confusion within 20 arcseconds;2,1;0,73;16,4;0,4;-11,56;-11,71;-11,40
No;NVWJ2156.0-1757;;329,01196;-17,95707;;3,75E+20;;;15,4;0,6;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;2,1;0,37;15,0;0,4;-12,22;-12,36;-12,04
Yes;5BZUJ2156-0037;;329,06149;-0,61794;0,495;7,02E+20;12,8;-11,8;12,9;0,4;;No possible source for confusion within 20 arcseconds;25,3;-0,45;12,7;0,4;-11,77;-12,54;-11,14
No;5BZQJ2156-2012;FSRQ;329,14069;-20,20858;1,309;2,41E+20;;;14,0;0,8;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;5BZBJ2156-0855;BL Lac;329,20975;-8,92650;;3,55E+20;;;14,6;0,4;;No possible source for confusion within 20 arcseconds;1,9;-0,07;13,3;0,4;-12,16;-12,34;-12,06
No;PKS 2153-69;;329,27493;-69,68991;;2,49E+20;;;13,1;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 19 arcseconds;1,2;;;;;;
Yes;5BZQJ2157+1014;FSRQ;329,30359;10,24022;0,761;5,15E+20;12,7;-12,1;12,5;0,5;;Possible confusing source at distance of 7 arcseconds, vmag=17.9;2,3;-0,30;12,9;0,4;-12,11;-12,31;-11,95
Yes;5BZQJ2157+3127;FSRQ;329,37009;31,45039;1,486;7,71E+20;12,6;-11,7;12,7;0,3;;No possible source for confusion within 20 arcseconds;18,6;-0,63;12,5;0,4;-11,99;-12,73;-11,46
Yes;5BZQJ2157+0649;FSRQ;329,43015;6,82261;0,626;4,46E+20;13,6;-12,5;13,6;0,9;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,6;0,03;13,7;0,4;-12,53;-12,63;-12,43
Yes;4FGL J2158.5-7550;;329,49676;-75,83156;;6,63E+20;12,8;-12,0;12,9;0,4;;No possible source for confusion within 20 arcseconds;4,5;-0,39;12,8;0,4;-12,05;-12,38;-11,73
Yes;5BZQJ2158-1501;FSRQ;329,52618;-15,01925;0,672;4,10E+20;12,8;-11,4;12,8;0,4;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;5,2;-0,29;12,9;0,4;-11,42;-11,77;-11,06
Yes;5BZBJ2158-3013;BL Lac;329,71698;-30,22558;0,117;1,28E+20;15,8;-10,0;15,7;0,9;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;3,4;0,58;15,9;0,4;-10,08;-10,38;-9,85
No;5BZUJ2159-2841;;329,79568;-28,68817;0,271;2,03E+20;;;15,4;0,7;;No possible source for confusion within 20 arcseconds;2,1;0,83;16,8;0,4;-11,34;-11,52;-11,18
No;5BZQJ2159-1500;FSRQ;329,83417;-15,01028;2,270;3,38E+20;;;15,4;0,5;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,3;-0,20;13,0;0,4;-12,62;-12,68;-12,55
No;3HSPJ215936.1-461954;BL Lac;329,90060;-46,33164;0,400;1,44E+20;;;15,8;0,3;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;2,3;0,44;15,3;0,4;-12,16;-12,32;-11,96
No;PMN J2200-4751;;329,99633;-47,86646;;1,80E+20;;;13,1;0,7;;No possible source for confusion within 20 arcseconds;12,9;-0,60;12,5;0,4;-12,11;-12,68;-11,57
No;5BZQJ2200-1945;FSRQ;330,03238;-19,76317;1,198;2,45E+20;;;15,0;0,8;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 19 arcseconds;1,1;;;;;;
Yes;3FGL J2159.8+1025;;330,03305;10,50220;;4,61E+20;12,8;-12,2;12,8;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;5,6;-0,43;12,7;0,4;-12,09;-12,53;-11,78
Yes;3FGL J2200.2+2139;;330,05914;21,63251;;6,99E+20;13,4;-11,9;13,5;0,4;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;3,0;-0,08;13,3;0,4;-11,61;-11,92;-11,44
No;3HSPJ220031.3+003542;BL Lac;330,13046;0,59497;0,098;4,20E+20;;;15,9;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 18 arcseconds;;;;;;;
Yes;3FGL J2200.9-2412;;330,15280;-24,24103;;2,53E+20;14,3;-12,0;14,1;0,5;;No possible source for confusion within 20 arcseconds;2,1;0,26;14,6;0,4;-12,02;-12,16;-11,84
Yes;5BZQJ2200+0234;FSRQ;330,20587;2,57503;1,323;4,04E+20;12,9;-12,2;13,0;0,4;;No possible source for confusion within 20 arcseconds;8,9;-0,47;12,7;0,4;-12,15;-12,68;-11,73
Yes;5BZQJ2200-1632;FSRQ;330,22864;-16,54242;0,836;2,84E+20;12,8;-12,6;12,8;0,6;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,9;-0,40;12,8;0,4;-12,58;-12,73;-12,45
No;3HSPJ220107.3-590641;BL Lac;330,28052;-59,11128;0,210;2,22E+20;;;16,2;0,4;;No possible source for confusion within 20 arcseconds;2,2;1,06;17,5;0,0;-11,31;0,00;0,00
No;3HSPJ220123.8+294935;BL Lac;330,34927;29,82628;0,240;6,86E+20;;;15,8;0,6;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;2,2;1,10;17,5;0,0;-11,46;0,00;0,00
Yes;5BZQJ2201+5048;FSRQ;330,43143;50,81567;1,899;3,94E+21;12,4;-11,8;12,4;0,3;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;6,9;-0,72;12,4;0,4;-11,76;-12,10;-11,26
No;3HSPJ220146.9-145440;BL Lac;330,44559;-14,91103;0,380;3,12E+20;;;16,2;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,1;;;;;;
No;5BZBJ2201-1707;;330,48264;-17,11675;0,169;2,80E+20;;;17,2;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,1;;;;;;
No;3HSPJ220214.9+104130;BL Lac;330,56204;10,69167;0,362;3,51E+20;;;16,1;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,1;;;;;;
Yes;5BZQJ2202-8338;FSRQ;330,58011;-83,63661;1,865;6,80E+20;12,6;-12,0;12,6;0,4;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;8,2;-0,59;12,5;0,4;-12,02;-12,50;-11,58
Yes;5BZBJ2202+4216;BL Lac;330,68039;42,27778;0,069;1,75E+21;13,3;-10,1;13,3;0,7;;There are no confusing sources at this position. The closest object is located at 9 arcseconds;7,9;-0,49;12,6;0,4;-9,57;-9,96;-9,06
No;MS 2159.5-5649;;330,72211;-56,59528;;1,69E+20;;;15,1;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
Yes;5BZQJ2202-2335;FSRQ;330,73334;-23,58617;2,120;2,24E+20;12,5;-12,4;12,4;0,5;;No possible source for confusion within 20 arcseconds;1,8;-0,47;12,7;0,4;-12,40;-12,48;-12,22
No;5BZQJ2203+3145;FSRQ;330,81244;31,76064;0,295;9,22E+20;;;13,3;0,6;Not enough flux variability. ;Possible confusing source at distance of 8 arcseconds, vmag=19.0;1,3;;;;;;
Yes;5BZQJ2203+1725;FSRQ;330,86194;17,43003;1,076;4,50E+20;13,0;-11,2;13,0;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;9,0;-0,46;12,7;0,4;-11,27;-11,79;-10,83
No;5BZQJ2203+7151;FSRQ;330,87695;71,85236;1,535;2,88E+21;;;14,7;0,9;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,2;;;;;;
Yes;5BZUJ2204+0440;;331,07355;4,66722;0,027;3,88E+20;13,3;-11,4;13,7;0,7;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,7;1,20;17,5;0,0;-10,35;0,00;0,00
No;MG3 J220423+3632;;331,08792;36,54364;;1,27E+21;;;15,1;0,8;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ220451.3-181536;BL Lac;331,21378;-18,26011;0,260;2,57E+20;;;16,5;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,1;;;;;;
Yes;4FGL J2205.0+7432;;331,44745;74,60585;;1,90E+21;12,7;-12,4;12,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ2206-1835;FSRQ;331,54343;-18,59408;0,619;2,30E+20;12,4;-12,1;12,4;0,4;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;NVWJ2206.1-1906;;331,58380;-19,10330;;2,18E+20;;;15,5;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;2,0;0,87;17,0;0,4;-11,63;-11,75;-11,44
No;5BZQJ2206-2119;FSRQ;331,67239;-21,32792;0,577;2,96E+20;;;13,0;0,8;;No possible source for confusion within 20 arcseconds;1,4;-0,41;12,7;0,4;-11,80;-11,86;-11,71
Yes;5BZBJ2206-0031;BL Lac;331,68036;-0,51736;;5,41E+20;13,0;-11,6;13,0;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;4,8;-0,26;12,9;0,4;-11,62;-11,99;-11,31
Yes;5BZQJ2206-7735;FSRQ;331,68524;-77,58995;0,980;7,84E+20;13,6;-12,0;13,6;0,7;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;3HSPJ220704.1+222232;BL Lac;331,76712;22,37542;0,558;7,11E+20;;;16,1;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 8 arcseconds, vmag=19.2;;;;;;;
No;4FGL J2207.0+3607;;331,78543;36,15972;;1,17E+21;;;17,1;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 8 arcseconds, vmag=19.1;;;;;;;
Yes;87GB 220504.7+430144;;331,78969;43,27428;;2,12E+21;13,7;-11,9;14,3;0,4;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;2,0;0,04;13,7;0,4;-11,87;-11,99;-11,69
No;5BZQJ2207+0041;FSRQ;331,83243;0,69925;1,898;3,96E+20;;;12,8;0,7;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 6 arcseconds, vmag=100.0;;;;;;;
No;NVWJ2207.5-1132;;331,85730;-11,53340;;3,64E+20;;;15,0;0,6;;No possible source for confusion within 20 arcseconds;2,8;0,14;14,1;0,4;-12,08;-12,25;-11,80
No;NVWJ2207.6-2133;;331,87530;-21,56650;;2,69E+20;;;15,4;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;;;;;;;
No;NVSS J220735+005717;;331,90848;0,87577;;3,74E+20;;;12,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;5BZQJ2207-5346;FSRQ;331,93222;-53,77605;1,215;1,79E+20;12,5;-11,8;12,5;0,4;;No possible source for confusion within 20 arcseconds;3,0;-0,61;12,5;0,4;-11,82;-12,00;-11,52
